"time","temperature","humidity","relay1","relay2","relay3"
"2026-05-04 12:37:27.306574+07","34.6","60.2",1,0,0
"2026-05-04 12:37:57.335136+07","34.6","58.7",1,0,0
"2026-05-04 12:38:27.347111+07","34.6","58.6",1,0,0
"2026-05-04 12:38:57.401265+07","34.6","59.2",1,0,0
"2026-05-04 12:39:27.467752+07","34.5","58.7",1,0,0
"2026-05-04 12:39:57.456225+07","34.5","58.7",1,0,0
"2026-05-04 12:40:27.513719+07","34.4","58.7",1,0,0
"2026-05-04 12:40:57.530931+07","34.4","58.9",1,0,0
"2026-05-04 12:41:27.564543+07","34.3","58.5",1,0,0
"2026-05-04 12:41:57.61955+07","34.2","59.1",1,0,0
"2026-05-04 12:42:27.679081+07","34.2","58.8",1,0,0
"2026-05-04 12:42:57.672411+07","34.2","59.5",1,0,0
"2026-05-04 12:43:29.610219+07","34.1","59.3",1,0,0
"2026-05-04 12:43:58.260234+07","34.1","59.5",1,0,0
"2026-05-04 12:44:27.817237+07","34.1","58.5",1,0,0
"2026-05-04 12:44:57.849424+07","34.1","59.5",1,0,0
"2026-05-04 12:45:27.853663+07","34.1","60",1,0,0
"2026-05-04 12:45:57.865986+07","34.1","62.5",1,0,0
"2026-05-04 12:46:27.933999+07","34","59.6",1,0,0
"2026-05-04 12:46:57.942956+07","34.1","61.2",1,0,0
"2026-05-04 12:47:27.965234+07","34.1","59.2",1,0,0
"2026-05-04 12:47:57.99255+07","34.2","62.1",1,0,0
"2026-05-04 12:48:28.092838+07","34.2","61.6",1,0,0
"2026-05-04 12:48:58.03465+07","34.2","59.4",1,0,0
"2026-05-04 12:49:28.042669+07","34.2","58.7",1,0,0
"2026-05-04 12:49:58.121052+07","34.3","58.7",1,0,0
"2026-05-04 12:50:28.223823+07","34.3","58.7",1,0,0
"2026-05-04 12:50:58.188099+07","34.3","58.3",1,0,0
"2026-05-04 12:51:28.235031+07","34.3","58.8",1,0,0
"2026-05-04 12:51:58.259183+07","34.4","58.6",1,0,0
"2026-05-04 12:52:28.39548+07","34.3","60.8",1,0,0
"2026-05-04 12:52:58.448747+07","34.3","59.7",1,0,0
"2026-05-04 12:53:28.339423+07","34.3","59.1",1,0,0
"2026-05-04 12:53:58.367554+07","34.3","60",1,0,0
"2026-05-04 12:54:28.418153+07","34.3","58.4",1,0,0
"2026-05-04 12:54:58.469395+07","34.4","59",1,0,0
"2026-05-04 12:55:28.597963+07","34.4","59.4",1,0,0
"2026-05-04 12:55:58.568545+07","34.5","59.3",1,0,0
"2026-05-04 12:56:28.642314+07","34.5","59.4",1,0,0
"2026-05-04 12:56:58.6843+07","34.5","60.6",1,0,0
"2026-05-04 12:57:28.60191+07","34.5","58.5",1,0,0
"2026-05-04 12:57:58.662832+07","34.5","58.4",1,0,0
"2026-05-04 12:58:28.666551+07","34.5","58.6",1,0,0
"2026-05-04 12:58:58.697141+07","34.4","58.7",1,0,0
"2026-05-04 12:59:28.719937+07","34.4","58.7",1,0,0
"2026-05-04 12:59:58.765154+07","34.5","58.9",1,0,0
"2026-05-04 13:00:28.802333+07","34.4","59.9",1,0,0
"2026-05-04 13:00:58.852933+07","34.4","58.7",1,0,0
"2026-05-04 13:01:28.996975+07","34.4","58.6",1,0,0
"2026-05-04 13:01:58.889875+07","34.4","58.1",1,0,0
"2026-05-04 13:02:29.016475+07","34.4","59.5",1,0,0
"2026-05-04 13:02:59.028391+07","34.4","60.1",1,0,0
"2026-05-04 13:03:29.025507+07","34.3","59.7",1,0,0
"2026-05-04 13:03:59.033992+07","34.3","58.7",1,0,0
"2026-05-04 13:04:29.049628+07","34.3","59.9",1,0,0
"2026-05-04 13:04:59.111397+07","34.3","60.4",1,0,0
"2026-05-04 13:05:29.136407+07","34.3","60.4",1,0,0
"2026-05-04 13:05:59.152683+07","34.3","59.5",1,0,0
"2026-05-04 13:06:29.223884+07","34.3","58.7",1,0,0
"2026-05-04 13:06:59.234902+07","34.3","59.2",1,0,0
"2026-05-04 13:07:29.297536+07","34.2","59.9",1,0,0
"2026-05-04 13:07:59.413622+07","34.2","61.3",1,0,0
"2026-05-04 13:08:29.349814+07","34.2","59.8",1,0,0
"2026-05-04 13:08:59.393098+07","34.2","60.2",1,0,0
"2026-05-04 13:09:29.39325+07","34.2","59.9",1,0,0
"2026-05-04 13:09:59.461407+07","34.1","59.3",1,0,0
"2026-05-04 13:10:29.460271+07","34.1","59.2",1,0,0
"2026-05-04 13:10:59.548483+07","34.2","59.6",1,0,0
"2026-05-04 13:11:29.519093+07","34.2","59.8",1,0,0
"2026-05-04 13:11:59.573836+07","34.2","59.5",1,0,0
"2026-05-04 13:12:29.61137+07","34.3","58.9",1,0,0
"2026-05-04 13:12:59.655299+07","34.3","58.7",1,0,0
"2026-05-04 13:13:29.670397+07","34.4","58.4",1,0,0
"2026-05-04 13:13:59.716403+07","34.4","59",1,0,0
"2026-05-04 13:14:29.745349+07","34.5","59.4",1,0,0
"2026-05-04 13:14:59.790658+07","34.6","59",1,0,0
"2026-05-04 13:15:29.796352+07","34.7","58.8",1,0,0
"2026-05-04 13:15:59.836698+07","34.7","59",1,0,0
"2026-05-04 13:16:29.868819+07","34.8","58.9",1,0,0
"2026-05-04 13:17:00.377635+07","34.8","59.9",1,0,0
"2026-05-04 13:17:29.916044+07","34.8","60.7",1,0,0
"2026-05-04 13:18:00.094445+07","34.8","59.6",1,0,0
"2026-05-04 13:18:29.992171+07","34.7","59.8",1,0,0
"2026-05-04 13:19:00.033524+07","34.7","60.3",1,0,0
"2026-05-04 13:19:30.048837+07","34.7","60.5",1,0,0
"2026-05-04 13:20:00.071817+07","34.6","60.2",1,0,0
"2026-05-04 13:20:30.103403+07","34.6","60.6",1,0,0
"2026-05-04 13:21:00.154369+07","34.5","60",1,0,0
"2026-05-04 13:21:30.176109+07","34.5","59.5",1,0,0
"2026-05-04 13:22:00.245268+07","34.5","60",1,0,0
"2026-05-04 13:22:30.265125+07","34.5","60.8",1,0,0
"2026-05-04 13:23:00.280734+07","34.6","60.6",1,0,0
"2026-05-04 13:23:30.30823+07","34.6","61.7",1,0,0
"2026-05-04 13:24:00.376389+07","34.6","61.8",1,0,0
"2026-05-04 13:24:30.391147+07","34.7","60.3",1,0,0
"2026-05-04 13:25:00.433399+07","34.7","61.3",1,0,0
"2026-05-04 13:25:30.441175+07","34.7","59.7",1,0,0
"2026-05-04 13:26:00.504876+07","34.7","59.3",1,0,0
"2026-05-04 13:26:30.521517+07","34.8","60.8",1,0,0
"2026-05-04 13:27:00.51226+07","34.9","60.6",1,0,0
"2026-05-04 13:27:30.587929+07","34.9","59.2",1,0,0
"2026-05-04 13:28:00.681708+07","34.9","58.7",1,0,0
"2026-05-04 13:28:30.646564+07","34.9","58.3",1,0,0
"2026-05-04 13:29:00.795396+07","34.9","59.4",1,0,0
"2026-05-04 13:29:30.701283+07","34.9","58.6",1,0,0
"2026-05-04 13:30:00.761684+07","34.8","58.5",1,0,0
"2026-05-04 13:30:30.777644+07","34.7","58.6",1,0,0
"2026-05-04 13:31:00.835486+07","34.6","59.2",1,0,0
"2026-05-04 13:31:30.849394+07","34.5","59.4",1,0,0
"2026-05-04 13:32:00.906536+07","34.4","59.3",1,0,0
"2026-05-04 13:32:30.912018+07","34.3","59.4",1,0,0
"2026-05-04 13:33:00.979573+07","34.2","59.8",1,0,0
"2026-05-04 13:33:30.987588+07","34.1","59.7",1,0,0
"2026-05-04 13:34:01.477702+07","34","60.1",1,0,0
"2026-05-04 13:34:31.041775+07","33.9","60.7",1,0,0
"2026-05-04 13:35:01.086239+07","33.9","60",1,0,0
"2026-05-04 13:35:31.231011+07","33.9","61",1,0,0
"2026-05-04 13:36:01.371835+07","33.8","61.2",1,0,0
"2026-05-04 13:36:31.19765+07","33.8","61.4",1,0,0
"2026-05-04 13:37:01.21414+07","33.8","61.3",1,0,0
"2026-05-04 13:37:31.228326+07","33.8","61.3",1,0,0
"2026-05-04 13:38:01.27988+07","33.8","61.6",1,0,0
"2026-05-04 13:38:31.297304+07","33.8","61.4",1,0,0
"2026-05-04 13:39:01.318772+07","33.8","61.6",1,0,0
"2026-05-04 13:39:31.377952+07","33.8","61.6",1,0,0
"2026-05-04 13:40:01.399301+07","33.7","61.2",1,0,0
"2026-05-04 13:40:31.439442+07","33.8","61.2",1,0,0
"2026-05-04 13:41:01.487353+07","33.8","61.8",1,0,0
"2026-05-04 13:41:31.524694+07","33.8","61.5",1,0,0
"2026-05-04 13:42:01.572991+07","33.7","62.4",1,0,0
"2026-05-04 13:42:31.580223+07","33.6","62.8",1,0,0
"2026-05-04 13:43:01.612189+07","33.5","62.9",1,0,0
"2026-05-04 13:43:31.65613+07","33.4","63.4",1,0,0
"2026-05-04 13:44:01.677315+07","33.4","63.2",1,0,0
"2026-05-04 13:44:31.723569+07","33.3","63.3",1,0,0
"2026-05-04 13:45:01.752097+07","33.2","63.3",1,0,0
"2026-05-04 13:45:31.76969+07","33.2","63.3",1,0,0
"2026-05-04 13:46:01.852357+07","33.2","63.7",1,0,0
"2026-05-04 13:46:31.851321+07","33.2","64.4",1,0,0
"2026-05-04 13:47:01.858162+07","33.2","63.8",1,0,0
"2026-05-04 13:47:31.903921+07","33.2","64.6",1,0,0
"2026-05-04 13:48:02.1132+07","33.2","64",1,0,0
"2026-05-04 13:48:31.984848+07","33.3","63.9",1,0,0
"2026-05-04 13:49:02.013204+07","33.3","63.5",1,0,0
"2026-05-04 13:49:32.025393+07","33.3","63.2",1,0,0
"2026-05-04 13:50:02.396179+07","33.4","63.3",1,0,0
"2026-05-04 13:50:32.114945+07","33.5","62.5",1,0,0
"2026-05-04 13:51:02.142592+07","33.5","63",1,0,0
"2026-05-04 13:51:32.178484+07","33.5","63",1,0,0
"2026-05-04 13:52:02.322935+07","33.6","62.1",1,0,0
"2026-05-04 13:52:32.225158+07","33.5","62.2",1,0,0
"2026-05-04 13:53:02.371087+07","33.5","62.5",1,0,0
"2026-05-04 13:53:32.313993+07","33.5","63.2",1,0,0
"2026-05-04 13:54:02.342299+07","33.6","63.1",1,0,0
"2026-05-04 13:54:32.380692+07","33.6","62.2",1,0,0
"2026-05-04 13:55:02.493468+07","33.6","62.4",1,0,0
"2026-05-04 13:55:32.428542+07","33.6","62",1,0,0
"2026-05-04 13:56:02.750772+07","33.6","62.2",1,0,0
"2026-05-04 13:56:32.607222+07","33.6","63.1",1,0,0
"2026-05-04 13:57:02.535511+07","33.6","62.9",1,0,0
"2026-05-04 13:57:32.587282+07","33.6","62.2",1,0,0
"2026-05-04 13:58:02.585409+07","33.6","62.2",1,0,0
